gene_symbol,Cldn19
mouse_life_stage,Early adult
pvalue,0.1317383
mouse_strain,C57BL
analysis_id,9x1ju317jb03292
parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:3033992
