analysis_id,376l4hq1z7q60r5
pvalue,0.6404331
parameter_id,IMPC_IMM_064_001
gene_symbol,Hpca
mouse_strain,C57BL
parameter_name,B1B Cells
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
