gene_symbol,Tatdn3
analysis_id,lau2t72o23l51og
pvalue,0.1308653
mouse_strain,C57BL
gene_accession_id,MGI:1916222
parameter_name,Stroke Volume
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
