parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
gene_symbol,Hpca
pvalue,0.7325296
gene_accession_id,MGI:1336200
analysis_id,a62dt127966d25j
mouse_strain,C57BL
mouse_life_stage,Late adult
