analysis_id,4xwvfr22q704395
pvalue,0.628682
parameter_name,Latency to first transition into dark
gene_symbol,Exd1
mouse_strain,C57BL
parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
