analysis_id,9462pjvsu3388zq
gene_symbol,Slc17a9
mouse_strain,C57BL
parameter_id,MGP_BMI_019_001
pvalue,1.389231
gene_accession_id,MGI:1919107
parameter_name,T cells - % of CD45+
mouse_life_stage,Early adult
