gene_symbol,Arpc2
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.1919786
mouse_strain,C57BL
parameter_id,MGP_IMM_036_001
mouse_life_stage,Early adult
analysis_id,k66jnxy2w0d1911
gene_accession_id,MGI:1923959
