gene_symbol,Npbwr1
analysis_id,3753k2bf2095p16
mouse_strain,C57BL
parameter_name,DN CD44+CD62L+ NKT cells
pvalue,0.3874109
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_047_001
