analysis_id,di9865z3908wkao
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
parameter_name,Center distance travelled
pvalue,0.200403
gene_symbol,Arpc2
