parameter_name,Head coat/hair presence
pvalue,0.6312287
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_strain,C57BL
parameter_id,MGP_CSD_015_001
mouse_life_stage,Middle aged adult
analysis_id,k5634s34033n6x0
