parameter_name,eye size
mouse_life_stage,E12.5
parameter_id,ESLIM_001_001_117
mouse_strain,C57BL
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
analysis_id,5vp3fn35s751adp
pvalue,0.881797
