parameter_name,Center distance travelled
pvalue,0.9807348
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
parameter_id,JAX_OFD_014_001
gene_symbol,Clvs1
mouse_strain,C57BL
analysis_id,y67r204944yu8db
