Analysis_id,nz93wmw8uty9ton
mouse_strain,C57BL
gene_symbol,Nemp2
parameter_id,IMPC_EYE_006_001
gene_accession_id,MGI:2444113
pvalue,0.6854376
mouse_life_stage,Early adult
parameter_name,Narrow eye opening
