analysis_id,s94pk53h10c338d
mouse_life_stage,Early adult
gene_symbol,Rnf114
pvalue,0.851363
gene_accession_id,MGI:1933159
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
parameter_name,Joints
