parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:109384
pvalue,0.7269701
parameter_id,IMPC_IPG_010_001
analysis_id,20dx895e842dkdc
gene_symbol,Atf3
mouse_life_stage,Early adult
mouse_strain,C52BL
