analysis_id,05180ggcg2y9yyr
pvalue,0.3534621
gene_symbol,Col6a3
gene_accession_id,MGI:88461
parameter_id,IMPC_EYE_027_001
mouse_strain,C57BL
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,Early adult
