parameter_name,Distance travelled - total
mouse_life_stage,Early adult
gene_symbol,Rufy4
analysis_id,x5g76x538zf4a7j
pvalue,0.693221
parameter_id,JAXLA_OFD_020_001
gene_accession_id,MGI:3588214
mouse_strain,C57BL
