gene_symbol,Sgip1
analysis_id,m5oty9yzoa27fpw
mouse_strain,C57BL
pvalue,0.3778015
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
