parameter_name,Center resting time
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,JAX_OFD_015_001
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
analysis_id,vdf7ak86uq0467e
pvalue,1.191848
