parameter_name,Body length
mouse_life_stage,Early adult
analysis_id,8usjwu0j5zqvfo3
mouse_strain,C57BL
parameter_id,IMPC_DXA_006_001
pvalue,0.08660368
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
