gene_symbol,Tbl1xr1
analysis_id,p267qq111ysn77t
parameter_name,Percent time in light
parameter_id,JAX_LDT_009_001
pvalue,0.2499417
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
mouse_strain,C57BL
