gene_symbol,Col6a3
parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:88461
pvalue,0.7530905
analysis_id,ift76574nq2g8kt
mouse_life_stage,Early adult
mouse_strain,C54BL
