analysis_id,304971i4q44q670
mouse_strain,C57BL
parameter_name,Snout morphology
pvalue,0.07355289
mouse_life_stage,Early adult
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:108072
gene_symbol,Traf6
