gene_symbol,Galnt13
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:2139447
pvalue,0.1362382
analysis_id,8i3fmyeb81ank7o
parameter_id,MGP_MLN_014_001
