gene_symbol,Il1r1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,30mhi489vpo801f
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:96545
pvalue,0.3792133
parameter_name,Coat - hair distribution - head
