gene_symbol,Uckl1
parameter_name,Monocytes
analysis_id,0mw29s7i4v0o94r
parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
gene_accession_id,MGI:1915806
pvalue,0.3334409
mouse_life_stage,Early adult
