parameter_name,Percentage center time
gene_symbol,Secisbp2l
pvalue,0.7039804
gene_accession_id,MGI:1917604
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_022_001
analysis_id,z067w387cltu912
