gene_symbol,Gpbp1l1
parameter_name,Fasted blood glucose concentration
mouse_strain,C57BL
analysis_id,81he9nynw363p7p
pvalue,0.843468
parameter_id,IMPC_IPG_010_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
