analysis_id,52iv98v2k13tsn7
gene_symbol,Eprs1
parameter_name,HR
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,JAXLA_ECG_002_001
gene_accession_id,MGI:97838
pvalue,0.8093862
