parameter_name,12kHz-evoked ABR Threshold
analysis_id,tu9xpdbg812ctmt
mouse_strain,C57BL
pvalue,0.5062959
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_006_001
