analysis_id,5f26428gkh2a3b6
gene_symbol,Frmpd1
parameter_name,B Cells
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.89314
parameter_id,IMPC_IMM_063_001
