analysis_id,v0su59qe194sm4l
pvalue,0.8780224
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slc45a3
parameter_name,% Pre-pulse inhibition - PPI4
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:1922082
