analysis_id,s2655q261p4a9d0
parameter_id,MGP_IMM_041_001
pvalue,0.1594929
mouse_strain,C57BL
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
parameter_name,Total B cells - % of CD45+
mouse_life_stage,Early adult
