gene_symbol,Npbwr1
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
analysis_id,6ytsk9q0ta94g37
gene_accession_id,MGI:891989
parameter_id,MGP_IMM_101_001
pvalue,0.8993414
