parameter_name,Ly6Clow monocyte percentage
gene_accession_id,MGI:103302
analysis_id,tp5l18bnmq88n20
parameter_id,MGP_PBI_018_001
pvalue,0.7511202
gene_symbol,Bmp7
mouse_strain,C57BL
mouse_life_stage,Early adult
