gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
analysis_id,d601e0ekyakpj14
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_004_002
pvalue,0.06330674
