gene_symbol,Kif24
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:1918345
mouse_strain,C57BL
analysis_id,681wh4mr1qi60lb
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_012_001
pvalue,0.8990196
