analysis_id,13h72slu63z547c
gene_accession_id,MGI:2446186
pvalue,0.05764009
parameter_id,IMPC_GRS_009_001
mouse_life_stage,Late adult
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_symbol,Lpgat1
mouse_strain,C57BL
