parameter_name,ST
gene_symbol,Cisd2
analysis_id,kvieh0ql99802r7
pvalue,0.7566562
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:1914256
mouse_strain,C57BL
