Gene_symbol,Lime1
mouse_strain,C57BL
Mouse_life_stage,Early adult
Parameter_name,Eye
Parameter_id,M-G-P_014_001_001
Gene_accession_id,MGI:1919949
Pvalue,0.3129583
Analysis_id,hq6r9ctc66n4138
