parameter_name,Monocyte percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
analysis_id,0r8r5et12944la6
mouse_life_stage,Early adult
pvalue,0.871388
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
