analysis_id,i6791h79mqa8781
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
parameter_name,Platelet count
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
pvalue,0.8779414
gene_accession_id,MGI:2441730
