parameter_id,MGP_IMM_121_001
parameter_name,Macrophages - % of CD45+
gene_symbol,Trdmt1
mouse_strain,C57BL
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
pvalue,0.1113141
analysis_id,5ved84p099976d4
