parameter_name,Center average speed
pvalue,0.8880572
mouse_strain,C57BL
parameter_id,JAX_OFD_017_001
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
gene_symbol,Zfp683
analysis_id,3714e3jv96v8306
