gene_symbol,Ubxn11
parameter_name,Center average speed
pvalue,0.8403121
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
analysis_id,a66f9713m615nk6
gene_accession_id,MGI:1914836
