gene_symbol,Zc2hc1a
pvalue,0.9012734
mouse_strain,C57BL
analysis_id,91827mp8c65p4gc
parameter_name,Retinal Blood Vessels Pattern
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
