gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_strain,C57BL
analysis_id,8zs86kpy7p365oz
parameter_name,center - resting time
mouse_life_stage,Early adult
pvalue,0.3352003
parameter_id,M-G-P_007_001_011
