analysis_id,t05214y2k5q8890
mouse_strain,129SV
parameter_name,Thoracic processes
gene_accession_id,MGI:1923959
parameter_id,IMPC_XRY_064_001
mouse_life_stage,Early adult
pvalue,0.6028426
gene_symbol,Arpc2
