parameter_id,JAX_SLW_014_001
mouse_life_stage,Late adult
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:1336200
analysis_id,1k2u1zs79d1zw91
mouse_strain,C57BL
pvalue,0.8982097
gene_symbol,Hpca
