parameter_id,IMPC_GPP_004_001
pvalue,0.8868947
mouse_strain,C52BL
mouse_life_stage,E9.5
parameter_name,Placenta Size
gene_accession_id,MGI:96646
analysis_id,1p8v5w86483480b
gene_symbol,Jun
