parameter_name,Neutrophil cell count
gene_symbol,Snap23
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,13fa58ri452100h
parameter_id,IMPC_HEM_030_001
pvalue,0.9922751
gene_accession_id,MGI:109356
