analysis_id,80fo1444829098c
gene_symbol,Arnt
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_005
gene_accession_id,MGI:88071
pvalue,0.6265308
parameter_name,Bone Mineral Content
mouse_strain,C57BL
