gene_symbol,Fpgs
mouse_strain,C57BL
parameter_name,Center average speed
gene_accession_id,MGI:95576
pvalue,0.3297277
parameter_id,JAX_OFD_017_001
mouse_life_stage,Early adult
analysis_id,1bm69m7zx291u6o
