parameter_id,IMPC_GEL_057_001
analysis_id,6174proi2bpn311
mouse_life_stage,Early adult
gene_symbol,Abo
gene_accession_id,MGI:2135738
mouse_strain,C57BL
parameter_name,Heart looping
pvalue,0.4260345
