gene_symbol,Col6a3
parameter_id,IMPC_DXA_002_001
parameter_name,Fat mass
mouse_strain,C57BL
pvalue,0.7235044
gene_accession_id,MGI:88461
analysis_id,tgq6v49nn3lf9w6
mouse_life_stage,Early adult
