Analysis_id,4j8yfy1ljt37931
Mouse_life_stage,Early adult
Parameter_id,M-G-P_016_001_001
Mouse_strain,C59BL
Parameter_name,White blood cell-count
Gene_accession_id,MGI:1913576
Pvalue,0.5573252
Gene_symbol,Dnajc5b
