analysis_id,4b9f024bu095816
gene_symbol,Slc17a9
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
pvalue,0.2464605
gene_accession_id,MGI:1919107
mouse_strain,C57BL
parameter_id,IMPC_DXA_009_001
