analysis_id,p7v571k74iv659r
pvalue,0.935199
gene_accession_id,MGI:1332236
gene_symbol,Cds2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
