parameter_name,Center average speed
gene_symbol,Mecom
parameter_id,IMPC_OFD_017_001
gene_accession_id,MGI:95457
mouse_strain,C3H
analysis_id,7534074e5bw06gy
pvalue,0.6460284
mouse_life_stage,Early adult
