gene_symbol,Golm2
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
analysis_id,n3e791nc62lskmj
parameter_id,MGP_PBI_030_001
pvalue,0.8085823
mouse_strain,C57BL
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
