parameter_id,JAXLA_DXA_007_001
pvalue,0.4835262
analysis_id,61y8jmue7vb5hr8
gene_accession_id,MGI:2181659
mouse_strain,C57BL
gene_symbol,Tox
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
