parameter_name,Center permanence time
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
analysis_id,9470p20kmv2kh30
mouse_life_stage,Early adult
gene_symbol,Ivd
gene_accession_id,MGI:1929242
pvalue,0.4239696
