analysis_id,43n719s52bl75jl
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
gene_symbol,Bach2
parameter_name,Tremor
mouse_strain,C57BL
pvalue,0.6925767
