analysis_id,b606i75844306b9
parameter_id,IMPC_IPG_011_001
mouse_strain,C57BL
pvalue,0.7989994
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
parameter_name,Initial response to glucose challenge
